keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
버스,210,130,124,0.1941,0.3286,9.7808,73,53,50,137,77,74
도심,203,142,117,0.1831,0.3177,9.7751,83,54,43,120,88,74
있도록,217,179,133,0.2081,0.3396,9.775,78,63,52,139,116,81
인센티브,220,167,138,0.216,0.3443,9.7665,73,54,48,147,113,90
정책목표,26,16,4,0.0063,0.0407,9.7644,1,1,1,25,15,3
활용한,234,203,159,0.2488,0.3662,9.7558,113,96,73,121,107,86
조달방안,50,50,14,0.0219,0.0782,9.7543,24,24,6,26,26,8
제도,220,183,140,0.2191,0.3443,9.7538,74,60,43,146,123,97
데이터,194,129,110,0.1721,0.3036,9.7535,73,48,44,121,81,66
생산,204,138,121,0.1894,0.3192,9.7514,87,59,52,117,79,69
중기과제,20,10,2,0.0031,0.0313,9.7466,15,5,1,5,5,1
지식정보타운,20,6,2,0.0031,0.0313,9.7466,6,2,1,14,4,1
추진배경,23,14,3,0.0047,0.036,9.7443,8,4,1,15,10,2
증가,189,149,106,0.1659,0.2958,9.7433,53,45,35,136,104,71
문화,987,550,361,0.5649,1.5446,9.7425,448,235,153,539,315,208
확장,209,151,128,0.2003,0.3271,9.7423,86,67,56,123,84,72
확정,208,176,127,0.1987,0.3255,9.7409,77,64,47,131,112,80
중장기,137,132,63,0.0986,0.2144,9.7407,62,59,25,75,73,38
창출,588,431,318,0.4977,0.9202,9.7376,237,174,127,351,257,191
산단,145,83,69,0.108,0.2269,9.7351,61,32,28,84,51,41
구간,192,127,110,0.1721,0.3005,9.7344,80,51,45,112,76,65
체육,189,121,107,0.1674,0.2958,9.7336,88,53,47,101,68,60
건강,224,158,149,0.2332,0.3505,9.7322,84,63,60,140,95,89
구현,223,195,148,0.2316,0.349,9.7299,125,103,79,98,92,69
도로,217,152,140,0.2191,0.3396,9.7291,88,64,57,129,88,83
경로당,177,102,96,0.1502,0.277,9.7266,89,53,49,88,49,47
완공,189,136,108,0.169,0.2958,9.724,82,54,42,107,82,66
대중교통,190,116,110,0.1721,0.2973,9.7151,64,45,41,126,71,69
개통,168,98,89,0.1393,0.2629,9.7126,72,39,36,96,59,53
관내,197,152,118,0.1847,0.3083,9.7119,87,66,50,110,86,68
역사,191,123,112,0.1753,0.2989,9.7067,88,60,56,103,63,56
안정,224,181,154,0.241,0.3505,9.7044,90,77,65,134,104,89
전략,197,160,119,0.1862,0.3083,9.7038,68,55,43,129,105,76
개발,881,552,354,0.554,1.3787,9.7014,368,233,149,513,319,205
좋은,230,198,164,0.2567,0.3599,9.7001,98,82,67,132,116,97
지하화,127,62,58,0.0908,0.1987,9.6998,57,31,27,70,31,31
재생에너지,134,75,63,0.0986,0.2097,9.6972,65,35,30,69,40,33
용역,176,136,98,0.1534,0.2754,9.6937,69,50,34,107,86,64
신공항,53,20,16,0.025,0.0829,9.6933,38,11,8,15,9,8
농촌,166,105,89,0.1393,0.2598,9.69,71,40,36,95,65,53
병행,199,181,125,0.1956,0.3114,9.6754,68,66,49,131,115,76
단지,189,142,114,0.1784,0.2958,9.6698,78,61,52,111,81,62
고속,144,78,72,0.1127,0.2254,9.6688,79,42,39,65,36,33
원스톱,221,184,157,0.2457,0.3459,9.6645,91,72,60,130,112,97
체험,193,139,120,0.1878,0.302,9.6583,81,59,51,112,80,69
빈집,117,60,53,0.0829,0.1831,9.6571,37,20,18,80,40,35
지역화폐,180,116,106,0.1659,0.2817,9.6531,67,42,39,113,74,67
매년,139,88,69,0.108,0.2175,9.6531,69,30,20,70,58,49
집중,202,178,132,0.2066,0.3161,9.6524,81,72,52,121,106,80
배경,52,35,16,0.025,0.0814,9.6479,30,20,8,22,15,8
회복,215,175,151,0.2363,0.3365,9.6476,78,60,55,137,115,96
공공의료,132,66,64,0.1002,0.2066,9.6475,52,30,29,80,36,35
한강,60,21,20,0.0313,0.0939,9.6471,23,8,8,37,13,12
총사업비,119,114,55,0.0861,0.1862,9.6411,55,53,26,64,61,29
어린,171,112,98,0.1534,0.2676,9.6401,73,45,40,98,67,58
청년,1767,648,415,0.6495,2.7653,9.6289,735,255,166,1032,393,249
신청,177,146,106,0.1659,0.277,9.6221,59,54,43,118,92,63
자산,134,78,67,0.1049,0.2097,9.6188,38,29,26,96,49,41
안심,192,139,124,0.1941,0.3005,9.6178,77,58,52,115,81,72
단계,139,100,71,0.1111,0.2175,9.6178,41,36,26,98,64,45
복원,145,84,76,0.1189,0.2269,9.6165,51,32,28,94,52,48
